Chemin;sn;givenName;telephoneNumber;streetAddress;l
OU=Directeurs,OU=Magasins;ANDRE;CATHERINE;450-894-5983;2345 ST-MARTIN;Boucheville
OU=Directeurs,OU=Magasins;ARCHAMBAULT;DAVID;514-489-5699;12 ROY;Montreal
OU=Directeurs,OU=Magasins;BRASSARD;MICHAEL;514-489-5683;4856 ANDRE;Montreal
OU=Directeurs,OU=Magasins;ROY;CLARA;450-894-5983;2345 ST-MARTIN;Boucheville
OU=Support_mag,OU=Serv_Info;AU;YANNICK;514-831-7813;654 MIMEAULT;St-Laurent
OU=Support_mag,OU=Serv_Info;AZOULAY;STEVE;514-894-1135;123 SAINT-JEAN;Verdun
OU=Support_mag,OU=Serv_Info;CARPENTIER-ROY;ALEXANDRE;450-486-4903;4589 LAMARCHE;Laval
OU=Support_mag,OU=Serv_Info;RATELLE;YANNICK;514-831-7813;654 MIMEAULT;St-Laurent
OU=Ventes,OU=Siege_social,OU=Corpo;BABIN;JONATHAN;514-894-1126;122 RATELLE;Longueuil
OU=Ventes,OU=Siege_social,OU=Corpo;BARON;NICOLAS;450-894-5985;456 TESTA;Boucheville
OU=Ventes,OU=Siege_social,OU=Corpo;CHARBONNEAU;YANICK;514-489-5691;4584 BELZILE;Verdun
OU=Ventes,OU=Siege_social,OU=Corpo;ROSA;JONATHAN;514-894-1126;122 RATELLE;Longueuil
OU=RH,OU=Siege_social,OU=Corpo;BEAUSEJOUR;PASCAL;450-894-5982;498 ST-JEAN;Longueuil
OU=RH,OU=Siege_social,OU=Corpo;BEAUVAIS;MATHIEU;514-745-9627;123 HAMEL;Montreal
OU=RH,OU=Siege_social,OU=Corpo;CATY-PICHE;FREDERIC;450-583-1586;1158 DUGUAY;Laval
OU=RH,OU=Siege_social,OU=Corpo;BOYLE;PASCAL;450-894-5982;498 ST-JEAN;Longueuil
